机构号,网点名称,营业状态,行政区,网点类型,营业部,管理行,权属,营业面积,到期时间,装修时间,人数,行评等级,X,Y
B0268H262010001,总行营业部,营业中,城关区,旗舰型,是,总行营业部,购置,2881.94,,2016/5/1,75,一类,103.823459,36.056449
B0268S262010082,榆中支行,营业中,榆中县,旗舰型,是,榆中支行,租赁,660,2019/10/1,2008/7/1,40,一类,104.1030502,35.84825396
B0268S262010083,永登支行,营业中,永登县,旗舰型,是,永登支行,购置,1420.07,,2016/2/1,20,二类,103.2590926,36.73591018
B0268B262010001,新区分行,营业中,兰州新区,旗舰型,是,新区分行,购置,874.1,,2017/9/1,25,一类,103.6532164,36.47916913
B0268S262010006,西固支行,营业中,西固区,旗舰型,是,西固管理行,购置,838.6,,2011/11/1,39,一类,103.6208475,36.10040367
B0268S262010065,飞天支行,营业中,城关区,旗舰型,是,天河管理行,租赁,2017.19,2019/10/1,2017/7/1,38,二类,103.8533091,36.05004788
B0268S262010015,七里河支行,营业中,七里河区,旗舰型,是,七里河管理行,购置,802.74,,2010/6/1,38,一类,103.783668,36.066156
B0268S262010075,开发区支行,营业中,城关区,旗舰型,是,开发区管理行,购置,500.85,,2012/3/1,38,一类,103.8883,36.053309
B0268S262010003,红古支行,营业中,红古区,旗舰型,是,红古管理行,购置,400,,2011/3/1,21,一类,102.8661476,36.34471536
B0268S262010090,皋兰支行,营业中,皋兰县,旗舰型,是,皋兰支行,购置,1005.57,,2014/5/1,26,二类,103.9500993,36.32183075
B0268S262010039,城关支行,营业中,城关区,旗舰型,是,城关管理行,租赁,590.97,2019/3/1,2007/5/1,19,二类,103.8309342,36.05096519
B0268S262010012,安宁支行,营业中,安宁区,旗舰型,是,安宁管理行,租赁,761.06,2020/2/1,2011/10/1,37,一类,103.7099719,36.10471129
B0268S262010084,榆中东城支行,营业中,榆中县,综合型,否,榆中支行,租赁,480.1,2019/2/1,2011/6/1,17,一类,104.1136765,35.84422588
B0268S262010088,榆中和平支行,营业中,榆中县,综合型,否,榆中支行,租赁,288,2019/1/1,2012/9/1,16,二类,103.964085,36.00776255
XQYZH,栖云支行,筹建中,榆中县,综合型,否,榆中支行,购置,,,2018/12/1,,,104.110297,35.85043788
B0268S262010103,兰州榆中金崖社区支行,营业中,榆中县,社区支行,否,榆中支行,租赁,,,,3,,104.0932356,36.01738686
B0268S262010104,兰州薇乐花园社区支行,营业中,榆中县,社区支行,否,榆中支行,租赁,,,,2,,103.9570892,35.99528253
B0268S262010112,兰州东苑小区社区支行,营业中,榆中县,社区支行,否,榆中支行,租赁,,,,3,,104.1154951,35.84905922
B0268S262010091,永登广场支行,营业中,永登县,综合型,否,永登支行,购置,875.96,,2014/2/1,17,三类,103.260659,36.72264397
B0268S262010097,中川支行,装修中,兰州新区,综合型,否,新区分行,租赁,800,2020/2/1,2015/8/1,17,三类,103.6724345,36.49059372
B0268S262010099,职教园区支行,营业中,兰州新区,综合型,否,新区分行,购置,800,,2017/9/1,11,,103.7414897,36.5346694
B0268S262010010,城建支行,营业中,西固区,综合型,否,西固管理行,购置,588.16,,2012/12/1,18,一类,103.6229932,36.09562933
B0268S262010008,福鑫支行,营业中,西固区,综合型,否,西固管理行,购置,702,,2014/2/1,18,一类,103.6282611,36.09105349
B0268S262010011,炼业支行,营业中,西固区,综合型,否,西固管理行,租赁,380.25,2019/3/1,2014/4/1,15,二类,103.6197639,36.09458864
B0268S262010007,银炼支行,营业中,西固区,综合型,否,西固管理行,购置,607.97,,2012/3/1,19,三类,103.6390221,36.08744323
B0268S262010009,西固东路支行,营业中,西固区,综合型,否,西固管理行,租赁,860.61,2019/3/1,2012/12/1,18,一类,103.6309138,36.09974518
B0268S262010094,福瑞支行,营业中,西固区,综合型,否,西固管理行,购置,814.16,,2014/12/1,14,四类,103.6502498,36.08383834
B0268S262010098,港务区支行,营业中,西固区,综合型,否,西固管理行,租赁,1000,2019/4/1,2016/4/1,15,,103.4811098,36.16766274
B0268S262010045,三金支行,营业中,城关区,综合型,否,天河管理行,租赁,1312,2019/3/1,2013/10/1,27,二类,103.8365012,36.06085777
B0268S262010048,东方红支行,营业中,城关区,综合型,否,天河管理行,租赁,522.92,2018/12/1,2010/3/1,22,一类,103.8443857,36.04872346
B0268S262010051,兴陇支行,营业中,城关区,综合型,否,天河管理行,租赁,790,2019/2/1,2011/12/1,22,二类,103.8383102,36.04977429
B0268S262010069,兴兰支行,营业中,城关区,综合型,否,天河管理行,购置,476.17,,2012/4/1,31,二类,103.840633,36.05795503
B0268S262010052,黄河支行,营业中,城关区,综合型,否,天河管理行,购置+租赁,672.87,2019/10/1,2016/4/1,20,四类,103.8391042,36.04859889
B0268S262010057,金汇支行,营业中,城关区,综合型,否,天河管理行,租赁,709.25,2020/1/1,2014/11/1,23,三类,103.843221,36.050913
B0268S262010062,金河支行,营业中,城关区,综合型,否,天河管理行,租赁,703,2019/4/1,2013/8/1,27,一类,103.84353,36.053755
B0268S262010064,兴业支行,营业中,城关区,综合型,否,天河管理行,租赁,466.25,2019/2/1,2013/4/1,23,二类,103.8613987,36.03742003
B0268S262010074,兴天支行,营业中,城关区,综合型,否,天河管理行,租赁,440,2019/9/1,2004/2/1,24,三类,103.8512373,36.04818523
B0268S262010054,联惠支行,营业中,城关区,综合型,否,天河管理行,租赁,533.7,2019/11/1,2016/4/1,21,二类,103.8389921,36.04304671
B0268S262010060,天水路支行,营业中,城关区,综合型,否,天河管理行,租赁,608.32,2019/10/1,2015/6/1,22,三类,103.8505036,36.04100347
B0268S262010047,金轮支行,营业中,城关区,综合型,否,天河管理行,租赁,723.39,2019/1/1,2014/12/1,20,二类,103.847242,36.03928149
B0268S262010044,东岗支行,营业中,城关区,综合型,否,天河管理行,租赁,1184,2019/3/1,2016/5/1,24,二类,103.8577348,36.04184031
B0268S262010059,兴华支行,营业中,城关区,综合型,否,天河管理行,租赁,850,2019/9/1,2014/6/1,21,一类,103.844363,36.043045
B0268S262010063,天成支行,营业中,城关区,综合型,否,天河管理行,购置,244.1,,2017/1/1,19,二类,103.846957,36.046447
B0268S262010101,兰州大教梁社区支行,营业中,城关区,社区支行,否,天河管理行,租赁,,,,3,,103.8449192,36.06154919
